frame,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y
1,1,bus,657,448,852,730,754,589
1,2,car,605,490,699,599,652,544
1,3,car,689,350,769,428,729,389
1,4,car,187,842,425,1078,306,960
1,5,car,1396,622,1508,742,1452,682
1,6,car,576,737,736,940,656,838
1,7,car,297,556,441,678,369,617
1,8,car,548,408,645,493,596,450
1,9,car,0,842,171,1059,85,950
1,10,car,416,847,559,1015,487,931
1,11,car,1521,832,1640,963,1580,897
1,12,person,1215,510,1240,561,1227,535
1,13,person,1780,903,1814,997,1797,950
1,14,person,38,986,111,1079,74,1032
1,15,person,947,578,983,662,965,620
1,16,car,605,308,694,372,649,340
1,17,car,748,196,809,236,778,216
1,18,car,791,266,841,309,816,287
1,19,car,1317,603,1381,686,1349,644
1,20,car,734,280,779,325,756,302
1,21,truck,1312,454,1402,566,1357,510
2,1,bus,653,449,850,733,751,591
2,2,car,598,495,695,604,646,549
2,3,car,687,353,768,430,727,391
2,4,car,178,854,417,1079,297,966
2,5,car,1396,622,1507,742,1451,682
2,6,car,570,740,734,948,652,844
2,7,car,288,559,437,681,362,620
2,8,car,545,409,646,497,595,453
2,9,car,0,850,161,1058,80,954
2,10,car,410,859,551,1024,480,941
2,11,car,1522,833,1638,962,1580,897
2,12,person,1215,513,1241,562,1228,537
2,13,person,1780,905,1814,993,1797,949
2,14,person,31,1006,93,1080,62,1043
2,15,person,946,584,981,662,963,623
2,16,car,614,311,692,373,653,342
2,17,car,747,197,808,235,777,216
2,18,car,790,265,839,311,814,288
2,21,truck,1309,453,1401,567,1355,510
3,1,bus,650,450,849,741,749,595
3,2,car,595,500,693,608,644,554
3,3,car,685,355,767,433,726,394
3,4,car,165,867,411,1079,288,973
3,5,car,1396,622,1507,742,1451,682
3,6,car,566,743,732,959,649,851
3,7,car,281,562,433,686,357,624
3,8,car,543,410,644,500,593,455
3,9,car,0,860,153,1059,76,959
3,10,car,400,869,547,1048,473,958
3,11,car,1522,833,1638,964,1580,898
3,12,person,1216,511,1241,561,1228,536
3,13,person,1780,903,1814,993,1797,948
3,16,car,618,312,689,374,653,343
3,17,car,746,196,806,235,776,215
3,18,car,790,266,839,312,814,289
3,22,car,589,313,690,375,639,344
3,19,car,1321,603,1381,685,1351,644
4,1,bus,647,453,848,746,747,599
4,2,car,593,503,691,611,642,557
4,3,car,681,354,763,438,722,396
4,4,car,159,879,405,1080,282,979
4,5,car,1398,622,1507,742,1452,682
4,6,car,562,749,728,966,645,857
4,7,car,274,564,428,690,351,627
4,8,car,538,415,639,503,588,459
4,9,car,0,871,142,1071,71,971
4,10,car,388,881,538,1058,463,969
4,11,car,1522,835,1638,964,1580,899
4,12,person,1217,513,1243,564,1230,538
4,13,person,1780,902,1814,990,1797,946
4,16,car,615,313,688,375,651,344
4,17,car,746,197,806,235,776,216
4,18,car,788,265,839,313,813,289
4,24,car,1309,548,1362,607,1335,577
4,19,car,1321,603,1382,685,1351,644
4,20,car,732,278,776,326,754,302
4,21,truck,1312,451,1401,568,1356,509
5,1,bus,644,456,846,751,745,603
5,2,car,590,506,693,615,641,560
5,3,car,678,355,762,439,720,397
5,4,car,152,893,393,1078,272,985
5,5,car,1401,622,1508,742,1454,682
5,6,car,558,755,725,976,641,865
5,7,car,269,567,426,695,347,631
5,8,car,535,418,638,505,586,461
5,9,car,0,880,131,1075,65,977
5,10,car,380,894,531,1072,455,983
5,11,car,1522,834,1640,965,1581,899
5,12,person,1218,514,1244,568,1231,541
5,13,person,1779,903,1814,987,1796,945
5,16,car,610,314,686,377,648,345
5,18,car,784,265,839,315,811,290
5,24,car,1308,548,1362,606,1335,577
5,19,car,1321,603,1381,685,1351,644
5,21,truck,1312,451,1401,567,1356,509
5,15,car,942,604,980,672,961,638
6,1,bus,642,460,846,756,744,608
6,2,car,588,510,694,620,641,565
6,3,car,677,356,762,442,719,399
6,4,car,146,908,385,1079,265,993
6,5,car,1401,621,1510,742,1455,681
6,6,car,552,767,723,986,637,876
6,7,car,264,572,422,700,343,636
6,8,car,532,419,636,508,584,463
6,9,car,0,890,120,1077,60,983
6,10,car,372,909,525,1073,448,991
6,11,car,1523,833,1640,967,1581,900
6,12,person,1219,519,1243,571,1231,545
6,13,person,1778,902,1814,989,1796,945
6,16,car,608,316,686,381,647,348
6,18,car,788,267,839,315,813,291
6,24,car,1308,549,1361,606,1334,577
6,19,car,1318,604,1381,686,1349,645
6,21,truck,1315,451,1401,566,1358,508
6,29,car,371,978,475,1078,423,1028
6,17,car,745,201,806,236,775,218
7,1,bus,639,462,844,764,741,613
7,2,car,582,511,690,624,636,567
7,3,car,665,357,760,444,712,400
7,4,car,136,922,379,1079,257,1000
7,5,car,1400,621,1508,740,1454,680
7,6,car,546,774,720,997,633,885
7,7,car,259,575,417,703,338,639
7,8,car,527,420,634,510,580,465
7,9,car,0,899,112,1076,56,987
7,10,car,362,923,520,1077,441,1000
7,11,car,1524,833,1638,966,1581,899
7,12,person,1219,521,1243,573,1231,547
7,13,person,1776,898,1812,987,1794,942
7,16,car,608,317,683,382,645,349
7,18,car,784,268,836,316,810,292
7,24,car,1308,547,1361,605,1334,576
7,19,car,1320,604,1380,686,1350,645
7,21,truck,1304,450,1402,564,1353,507
8,1,bus,634,464,842,771,738,617
8,2,car,576,516,679,630,627,573
8,3,car,666,353,759,445,712,399
8,4,car,133,936,370,1080,251,1008
8,5,car,1401,620,1507,739,1454,679
8,6,car,541,783,718,1010,629,896
8,7,car,253,580,411,711,332,645
8,8,car,522,423,632,514,577,468
8,9,car,0,912,101,1079,50,995
8,10,car,353,940,513,1080,433,1010
8,11,car,1525,834,1637,967,1581,900
8,12,person,1219,525,1243,577,1231,551
8,16,car,607,319,682,385,644,352
8,18,car,782,268,836,318,809,293
8,24,car,1308,547,1361,606,1334,576
8,19,car,1321,604,1381,686,1351,645
8,21,truck,1302,450,1403,563,1352,506
8,20,car,727,281,773,332,750,306
9,1,bus,629,466,840,777,734,621
9,2,car,571,518,675,634,623,576
9,3,car,664,355,757,445,710,400
9,4,car,135,951,354,1079,244,1015
9,5,car,1400,619,1506,738,1453,678
9,6,car,535,788,715,1019,625,903
9,7,car,249,585,406,716,327,650
9,8,car,519,424,628,516,573,470
9,9,car,0,923,92,1078,46,1000
9,10,car,342,954,503,1080,422,1017
9,11,car,1525,834,1637,966,1581,900
9,12,person,1219,524,1244,578,1231,551
9,16,car,604,320,680,386,642,353
9,18,car,781,270,837,318,809,294
9,24,car,1308,546,1362,606,1335,576
9,21,truck,1302,450,1402,563,1352,506
9,31,car,953,296,989,347,971,321
9,20,car,727,280,773,334,750,307
9,13,person,1773,895,1809,985,1791,940
10,1,bus,626,469,840,783,733,626
10,2,car,568,521,673,640,620,580
10,3,car,667,360,754,447,710,403
10,4,car,131,968,345,1079,238,1023
10,5,car,1398,618,1507,737,1452,677
10,6,car,531,797,713,1031,622,914
10,7,car,242,588,402,722,322,655
10,8,car,517,425,624,519,570,472
10,9,car,0,933,80,1077,40,1005
10,10,car,332,970,496,1080,414,1025
10,11,car,1524,833,1639,967,1581,900
10,12,person,1219,524,1245,579,1232,551
10,16,car,599,322,677,387,638,354
10,18,car,780,272,836,319,808,295
10,20,car,724,281,772,336,748,308
11,1,bus,622,473,839,790,730,631
11,2,car,566,524,672,643,619,583
11,3,car,668,364,753,450,710,407
11,4,car,130,984,334,1078,232,1031
11,5,car,1398,617,1508,738,1453,677
11,6,car,526,807,710,1041,618,924
11,7,car,235,591,399,727,317,659
11,8,car,513,428,620,523,566,475
11,9,car,0,945,68,1077,34,1011
11,10,car,318,987,486,1080,402,1033
11,11,car,1524,835,1639,968,1581,901
11,12,person,1220,526,1246,581,1233,553
11,16,car,598,323,674,388,636,355
11,18,car,779,273,835,321,807,297
11,20,car,723,283,770,337,746,310
11,21,truck,1316,448,1402,562,1359,505
11,31,car,954,301,988,347,971,324
12,1,bus,618,477,837,796,727,636
12,2,car,564,529,668,649,616,589
12,3,car,662,367,752,453,707,410
12,4,car,122,1000,324,1078,223,1039
12,5,car,1401,617,1508,739,1454,678
12,6,car,520,815,705,1051,612,933
12,7,car,227,595,392,732,309,663
12,8,car,510,431,618,526,564,478
12,9,car,0,958,55,1079,27,1018
12,10,car,316,1000,477,1080,396,1040
12,11,car,1524,835,1638,968,1581,901
12,12,person,1220,526,1247,585,1233,555
12,16,car,596,324,670,390,633,357
12,18,car,778,274,835,320,806,297
12,21,truck,1318,448,1402,559,1360,503
12,17,car,747,203,800,236,773,219
12,24,car,1308,547,1364,598,1336,572
12,13,person,1772,888,1807,984,1789,936
13,1,bus,615,477,838,803,726,640
13,2,car,560,534,670,654,615,594
13,3,car,661,370,750,456,705,413
13,4,car,119,1016,308,1076,213,1046
13,5,car,1402,616,1508,738,1455,677
13,6,car,514,821,702,1062,608,941
13,7,car,221,598,388,739,304,668
13,8,car,507,433,615,529,561,481
13,9,car,0,976,42,1078,21,1027
13,10,car,319,1021,460,1080,389,1050
13,11,car,1524,837,1638,969,1581,903
13,12,person,1220,527,1247,586,1233,556
13,16,car,595,325,669,392,632,358
13,18,car,777,276,834,321,805,298
13,21,truck,1317,448,1402,558,1359,503
13,13,person,1770,885,1806,980,1788,932
13,22,car,552,327,672,395,612,361
13,20,car,721,288,766,341,743,314
14,1,bus,612,478,837,809,724,643
14,2,car,553,538,669,661,611,599
14,3,car,657,372,751,459,704,415
14,4,car,118,1032,292,1078,205,1055
14,5,car,1402,615,1508,736,1455,675
14,6,car,509,830,700,1073,604,951
14,7,car,213,604,382,745,297,674
14,8,car,501,435,610,532,555,483
14,10,car,322,1035,455,1080,388,1057
14,11,car,1524,837,1639,969,1581,903
14,12,person,1220,527,1247,586,1233,556
14,16,car,594,327,669,394,631,360
14,18,car,777,277,831,322,804,299
14,21,truck,1308,448,1403,559,1355,503
14,13,person,1767,884,1804,982,1785,933
14,40,person,938,440,969,506,953,473
14,22,car,553,328,670,395,611,361
