frame,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y
1,111,car,0,857,159,1066,79,961
1,21,truck,1315,454,1402,567,1358,510
1,696,car,1396,622,1508,740,1452,681
2,111,car,0,854,158,1062,79,958
2,21,truck,1311,453,1401,567,1356,510
2,1150,bus,653,449,850,733,751,591
2,1151,car,599,495,695,604,647,549
2,1152,car,687,353,768,430,727,391
2,1153,car,179,853,417,1079,298,966
2,1154,car,571,740,735,948,653,844
2,1155,car,289,559,437,680,363,619
2,1156,car,545,409,646,497,595,453
2,1157,car,411,858,552,1024,481,941
2,1158,car,1522,833,1638,963,1580,898
2,1159,person,1215,512,1241,562,1228,537
2,1160,person,1780,904,1814,994,1797,949
2,1163,car,614,310,692,373,653,341
2,1164,car,747,197,808,235,777,216
2,1165,car,790,265,839,311,814,288
2,696,car,1396,622,1507,741,1451,681
3,111,car,0,860,153,1060,76,960
3,1150,bus,650,450,849,741,749,595
3,1151,car,595,499,693,607,644,553
3,1152,car,685,354,767,433,726,393
3,1153,car,166,866,412,1079,289,972
3,1154,car,567,743,732,958,649,850
3,1155,car,282,562,433,685,357,623
3,1156,car,543,410,643,500,593,455
3,1157,car,400,869,547,1047,473,958
3,1158,car,1522,833,1638,964,1580,898
3,1159,person,1216,511,1241,561,1228,536
3,1160,person,1780,903,1814,993,1797,948
3,1163,car,617,311,689,374,653,342
3,1164,car,746,196,806,235,776,215
3,1165,car,790,266,839,312,814,289
3,696,car,1396,621,1507,742,1451,681
3,1169,car,589,313,690,375,639,344
4,111,car,0,870,143,1070,71,970
4,1150,bus,647,453,848,746,747,599
4,1151,car,593,503,691,611,642,557
4,1152,car,681,353,763,438,722,395
4,1153,car,159,879,406,1080,282,979
4,1154,car,562,749,728,966,645,857
4,1155,car,274,564,429,690,351,627
4,1156,car,538,415,639,503,588,459
4,1157,car,388,880,539,1058,463,969
4,1158,car,1522,835,1638,964,1580,899
4,1159,person,1217,513,1243,564,1230,538
4,1160,person,1780,902,1814,990,1797,946
4,1163,car,615,312,688,375,651,343
4,1164,car,746,197,806,235,776,216
4,1165,car,788,265,839,313,813,289
4,696,car,1398,622,1507,742,1452,682
4,1172,car,1321,603,1381,685,1351,644
4,1173,car,1309,548,1362,607,1335,577
4,21,truck,1312,451,1401,568,1356,509
5,111,car,0,878,133,1074,66,976
5,1150,bus,644,456,846,751,745,603
5,1151,car,590,506,693,615,641,560
